!! 对某些api来说,city也可能是枚举类型
!! date date1 参数有待考虑
!! <omit>/<unk> 表示可选参数为空，注意哪些为可选参数。(lottery_p)
!! 特殊api: 700(训练月份和天数，传递日期) 204(训练日期，传递格式化日期，真实传递今天日期) 503(训练格式化日期，传递格式化日期) 101(POST请求)
!!
!! params: from_lan(enum) to_lan(enum) text(string) province(string{省}[浙江/安徽]) city(string{城市}[杭州/北京]) mobile(string{手机号码}[13456755448]) star(enum) date1(string{见api描述}[明天/后天]) recipe(string{菜谱}[宫保鸡丁]) disease(string{疾病,关键字}[感冒]) company(string{公司名}[上海阿里巴巴影业有限公司]) express_com(enum) express_no spot(string{景点}[五龙潭/趵突泉]) id(string{身份证}[445281199411054350]) ip(string{ipv4地址}[112.64.217.75]) apple_sn(string{苹果手机IEME/序列号}[353335079865302]) keyword_1(string{单个字词，用于查询成语}[叶]) isbn(string{书的isbn号码}[9787212058937]) word({汉字,查字典}[我/好/你]}) keyword_2(string{搜索脑筋急转弯的词，一般是名词}[女人/花生]) amout({换算的数量}[10/1000]) from_unit(string{单位}) to_unit(string{单位}) words({词语}[好像/喜欢]) bus_no(string{公交地铁车次}[86/197]) bus_station(string{公交地铁车站}[上宁桥/西溪竞舟苑]) address1(string{搜索公交地址,市内}[西溪花园紫菱苑]) address(string{地理编码地址}[方恒国际中心A座/北京市朝阳区阜通东大街6号]) train_no(string{火车车次}[G34/D256/K1158]) start_station(string{火车站}[杭州东/北京南]) end_station(string{火车站}[杭州东/北京南]) date(string{查询火车余票日期}[2015-10-20]) money({钱的数量,用于汇率转换}[100,1]) from_currency(enum{货币代码}[CNY/USD]) to_currency(enum{货币代码}[CNY/USD]) bank(enum{十大银行}[工商银行：ICBC/中国银行：BOC]) lottery(enum{彩票类型,比如双色球/体彩}[ssq]) lottery_p(string{第几期彩票,无则表示查询最新一期}[2015022]) month({月份,2个字符}[02/10]) day({几号}[01/31])
!!
id, desc, default_params, mock_params, add_params, alt_params, resp_type, req_method, req_body, req_url, aliyun_url, appcode, remarks
100X, "小牛翻译API-维汉/藏汉/泰汉/英汉翻译", "src_text=text&from=from_lan&to=to_lan", "from=zh&src_text=%E4%BD%A0%E5%A5%BD&to=uy", None, "src_text={}&from={}&to={}", JSON, GET, None, "http://niutrans1.market.alicloudapi.com/NiuTransServer/translation", "https://market.aliyun.com/products/57124001/cmapi016131.html", None, "from_lan(enum) to_lan(enum) text(string)"
100, "在线翻译", "text=text&from=from_lan&to=to_lan", "from=zh-CN&text=%E5%A5%BD&to=en&type=google", "type=google", "text={}&from={}&to={}&type=google", JSON, GET, None, "http://jisuzxfy.market.alicloudapi.com/translate/type", "https://market.aliyun.com/products/57002003/cmapi011252.html", "9d90915e3079402b887c9b9ec31bd35c", "type可以选择google、baidu、iciba、youdao,这里我们用google,因为它支持的语言多 from_lan(enum) to_lan(enum) text(string)"
101, "文本分析_分词", "dataValue=text", REF, None, None, JSON, POST, REF, "http://wbfxfc.market.alicloudapi.com/rest/160601/text_analysis/aliws.json", "https://market.aliyun.com/products/57124001/cmapi017959.html", None, "text(string)"
200, "全国天气预报查询", "city=city", "city=%E5%AE%89%E9%A1%BA", None, "city={}", JSON, GET, None, "http://jisutqybmf.market.alicloudapi.com/weather/query", "https://market.aliyun.com/products/57126001/cmapi014302.html", "9d90915e3079402b887c9b9ec31bd35c", "city(string{城市}[杭州/北京])"
201, "PM2.5空气质量指数", "city=city", "city=%E5%A4%A9%E6%B4%A5", None, "city={}", JSON, GET, None, "http(s)://ali-pm25.showapi.com/pm25-detail", "https://market.aliyun.com/products/57096001/cmapi010843.html", None, city(string{城市}[杭州/北京])
202, "手机号码归属地查询", "shouji=mobile", "shouji=13456755448", None, "shouji={}", JSON, GET, None, "http://jshmgsdmfb.market.alicloudapi.com/shouji/query", "https://market.aliyun.com/products/57126001/cmapi014304.html", None, "mobile(string{手机号码}[13456755448])"
203, "星座运势", "star=star", "needMonth=0&needTomorrow=0&needWeek=0&needYear=0&star=baiyang", "needMonth=0&needTomorrow=1&needWeek=0&needYear=0", "star={}&needMonth=0&needTomorrow=1&needWeek=0&needYear=0",JSON, GET, None, "http://ali-star-lucky.showapi.com/star", "https://market.aliyun.com/products/57126001/cmapi011529.html", None, "star(enum)"
204, "黄历运势", "date=date1", "date=20180501", None, "date={}", JSON, GET, None, "http(s)://ali-lucky.showapi.com/lucky", "https://market.aliyun.com/products/57126001/cmapi011528.html", None, "date1(string{见api描述}[明天/后天])"
205, "菜谱大全", "keyword=recipe", "keyword=%E7%99%BD%E8%8F%9C&num=10&start=0", "num=3&start=0", "keyword={}&num=3&start=0", JSON, GET, None, "http://jisusrecipe.market.alicloudapi.com/recipe/search", "https://market.aliyun.com/products/57126001/cmapi012028.html", None, "recipe(string{菜谱}[宫保鸡丁])"
206, "常见疾病", "key=disease", "key=%E6%84%9F%E5%86%92&page=1&subTypeId=0310&typeId=3", "page=1", "key={}&page=1", JSON, GET, None, "http://ali-disease.showapi.com/search-disease", "https://market.aliyun.com/products/57126001/cmapi011522.html", None, "disease(string{疾病,关键字}[感冒])"
207, "税务登记号查询", "com=company", "com=上海阿里巴巴影业有限公司", None, "com={}", JSON, GET, None, "http://swdjh.market.alicloudapi.com/creditCode", "https://market.aliyun.com/products/57126001/cmapi021265.html", None, "company(string{公司名}[上海阿里巴巴影业有限公司])"
208, "全国快递物流查询", "com=express_com&nu=express_no", "com=zhongtong&nu=535962308717", None, "com={}&nu={}", JSON, GET, None, "http(s)://ali-deliver.showapi.com/showapi_expInfo", "https://market.aliyun.com/products/57126001/cmapi010996.html", None, "express_com(enum),若express_com不清楚可以填auto"
